"Vin","Stock","Type","Year","Make","Model","Trim","Ext Color","Status","Price","Body Style","Fuel Type","MSRP","Date In Stock","Street Address","Locality","Postal Code","Region","Country","Location","Vechile URL"
"KL47LAEP5SB200441","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-transit","24290","SUV","Flexible Fuel","25840","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996562380"
"KL47LAEP6SB199073","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-transit","24290","SUV","Flexible Fuel","25840","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996609860"
"KL47LAEP6SB154733","27561","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-stock","24567","SUV","Flexible Fuel","26135","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5962453890"
"KL47LAEP4SB154150","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ocean Blue Metallic","In-transit","24567","SUV","Flexible Fuel","26135","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5962455160"
"KL47LAEP6SB156661","27563","New","2025","Buick","Envista","FWD 4dr Preferred","Ocean Blue Metallic","In-stock","24567","SUV","Flexible Fuel","26135","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5962456380"
"KL47LAEP5SB156330","27576","New","2025","Buick","Envista","FWD 4dr Preferred","Cinnabar Metallic","In-stock","24567","SUV","Flexible Fuel","26135","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5971729880"
"KL4AMBSL8SB121310","27479","New","2025","Buick","Encore GX","Preferred FWD","Ocean Blue Metallic","In-stock","24750","SUV","Gas","28125","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Preferred_FWD-SAINT_PETERS-MO/5943975250"
"KL47LAEP9SB191923","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-transit","25084","SUV","Flexible Fuel","26685","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5995413670"
"KL47LAEP4SB171630","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Moonstone Gray Metallic","In-transit","25550","SUV","Flexible Fuel","27180","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5977373020"
"KL47LAEP3SB192081","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-transit","25550","SUV","Flexible Fuel","27180","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5995408530"
"KL47LAEP2SB191438","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Moonstone Gray Metallic","In-transit","25550","SUV","Flexible Fuel","27180","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996031040"
"KL47LAEP3SB192047","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-transit","25550","SUV","Flexible Fuel","27180","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996080640"
"KL47LAEP2SB171917","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Cinnabar Metallic","In-transit","25590","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5980973480"
"KL47LAEP8SB172084","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Copper Ice Metallic","In-transit","25590","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5980973500"
"KL47LAEP5SB171796","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-transit","25590","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5981515540"
"KL47LBEP9SB090628","27493","New","2025","Buick","Envista","FWD 4dr Sport Touring","Aquamarine Blue Metallic","In-stock","25883","SUV","Flexible Fuel","27535","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Sport_Touring-SAINT_PETERS-MO/5959365140"
"KL47LAEP0SB171687","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ebony Twilight Metallic","In-transit","26435","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5980959060"
"KL47LAEP8SB171291","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Copper Ice Metallic","In-transit","26435","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5981515480"
"KL47LAEP9SB172014","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-transit","26685","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5980959010"
"KL4AMDSL4SB113233","27511","New","2025","Buick","Encore GX","Sport Touring FWD","Aquamarine Blue Metallic","In-service","26906","SUV","Gas","30575","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_FWD-SAINT_PETERS-MO/5949440880"
"KL47LAEPXSB171681","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ocean Blue Metallic","In-transit","27180","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5980958960"
"KL47LAEP5SB171605","27584","New","2025","Buick","Envista","FWD 4dr Preferred","Ocean Blue Metallic","In-stock","27180","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5980959230"
"KL4AMDSL4SB044107","27228","New","2025","Buick","Encore GX","Sport Touring FWD","Summit White","In-stock","27487","SUV","Gas","31235","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_FWD-SAINT_PETERS-MO/5870239710"
"KL4AMDSL8SB047026","27229","New","2025","Buick","Encore GX","Sport Touring FWD","Cinnabar Metallic","In-stock","27571","SUV","Gas","31330","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_FWD-SAINT_PETERS-MO/5873591010"
"KL4AMDSL1SB074018","27392","New","2025","Buick","Encore GX","Sport Touring FWD","Ebony Twilight Metallic","In-stock","27650","SUV","Gas","31420","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_FWD-SAINT_PETERS-MO/5919462930"
"KL4AMESL0SB175220","N/A","New","2025","Buick","Encore GX","Sport Touring AWD","Ocean Blue Metallic","In-transit","28094","SUV","Gas","31925","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_AWD-SAINT_PETERS-MO/5981515550"
"KL4AMESL8SB175238","N/A","New","2025","Buick","Encore GX","Sport Touring AWD","Ocean Blue Metallic","In-transit","28094","SUV","Gas","31925","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_AWD-SAINT_PETERS-MO/5981533360"
"KL4AMDSL7SB045011","27149","New","2025","Buick","Encore GX","Sport Touring FWD","Cinnabar Metallic","In-service","28231","SUV","Gas","32080","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_FWD-SAINT_PETERS-MO/5918271120"
"KL47LBEP4SB171911","27581","New","2025","Buick","Envista","FWD 4dr Sport Touring","Ebony Twilight Metallic","In-stock","28313","SUV","Flexible Fuel","30120","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Sport_Touring-SAINT_PETERS-MO/5977358260"
"KL4AMESL2SB117836","27510","New","2025","Buick","Encore GX","Sport Touring AWD","Ebony Twilight Metallic","In-service","28314","SUV","Gas","32175","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_AWD-SAINT_PETERS-MO/5950240880"
"KL47LBEP7SB028970","27523","New","2025","Buick","Envista","FWD 4dr Sport Touring","Aquamarine Blue Metallic","In-stock","28375","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Sport_Touring-SAINT_PETERS-MO/5970657680"
"KL4AMDSL0SB073927","27389","New","2025","Buick","Encore GX","Sport Touring FWD","Cinnabar Metallic","In-service","28526","SUV","Gas","32415","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Sport_Touring_FWD-SAINT_PETERS-MO/5919462630"
"KL47LCEP8SB037781","27294","New","2025","Buick","Envista","FWD 4dr Avenir","Moonstone Gray Metallic","In-stock","28661","SUV","Flexible Fuel","30490","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5886098670"
"KL47LCEP5SB191543","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Moonstone Gray Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5995408330"
"KL47LCEP4SB200748","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Ocean Blue Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996052270"
"KL47LCEP5SB198735","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Moonstone Gray Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996074860"
"KL47LCEP7SB198767","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Moonstone Gray Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996074910"
"KL47LCEP4SB199181","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Ebony Twilight Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996111950"
"KL47LCEP6SB191759","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Ebony Twilight Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996111990"
"KL47LCEP9SB188953","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Cinnabar Metallic","In-transit","29831","SUV","Flexible Fuel","31735","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996562340"
"KL47LCEP9SB171117","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Moonstone Gray Metallic","In-transit","30112","SUV","Flexible Fuel","32034","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5977857520"
"KL47LCEP2SB171220","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","Ocean Blue Metallic","In-transit","30112","SUV","Flexible Fuel","32034","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5977878440"
"KL47LCEP0SB200682","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","White Frost Tricoat","In-transit","30395","SUV","Flexible Fuel","32335","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5996055230"
"KL47LCEP1SB171239","27582","New","2025","Buick","Envista","FWD 4dr Avenir","White Frost Tricoat","In-stock","30676","SUV","Flexible Fuel","32634","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5977857750"
"3GKALMEG1SL296424","53272","New","2025","GMC","Terrain","FWD 4dr Elevation","Riverstone Metallic","In-stock","31140","SUV","Gas","31890","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-GMC-Terrain-FWD_4dr_Elevation-SAINT_PETERS-MO/5993163150"
"KL4AMFSL2SB038396","27567","New","2025","Buick","Encore GX","Avenir FWD","Ebony Twilight Metallic","In-stock","31227","SUV","Gas","35485","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Avenir_FWD-SAINT_PETERS-MO/5982603540"
"3GTNHAEK7SG243835","53228","New","2025","GMC","Sierra 1500","Regular Cab Long Box 2-Wheel Drive Pro","Summit White","In-stock","32017","TRUCK","Gas","40975","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-GMC-Sierra_1500-Regular_Cab_Long_Box_2_Wheel_Drive_Pro-SAINT_PETERS-MO/5969688290"
"KL47LCEP2SB170830","27585","New","2025","Buick","Envista","FWD 4dr Avenir","Copper Ice Metallic","In-stock","32034","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5981515430"
"KL4AMFSLXSB044303","27562","New","2025","Buick","Encore GX","Avenir FWD","White Frost Tricoat","In-stock","32147","SUV","Gas","36530","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Encore_GX-Avenir_FWD-SAINT_PETERS-MO/5870253100"
"3GTNHAEKXSG275856","53273","New","2025","GMC","Sierra 1500","Regular Cab Long Box 2-Wheel Drive Pro","Summit White","In-stock","32346","TRUCK","Gas","41325","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-GMC-Sierra_1500-Regular_Cab_Long_Box_2_Wheel_Drive_Pro-SAINT_PETERS-MO/5993163040"
"KL47LCEP4SB171476","N/A","New","2025","Buick","Envista","FWD 4dr Avenir","White Frost Tricoat","In-transit","32634","SUV","Flexible Fuel","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Avenir-SAINT_PETERS-MO/5980973850"
"3GTNHAEK9SG122708","53072","New","2025","GMC","Sierra 1500","Regular Cab Long Box 2-Wheel Drive Pro","Sterling Metallic","In-stock","32670","TRUCK","Gas","41670","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-GMC-Sierra_1500-Regular_Cab_Long_Box_2_Wheel_Drive_Pro-SAINT_PETERS-MO/5898098050"
